cid,name,standard_dg_prime,p_h,ionic_strength,p_mg,temperature,decompose,reference,remark,Smiles
metanetx.chemical:MNXM615,Mannitol,-372.2,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC([H])([H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[H]
metanetx.chemical:MNXM231,L-Isoleucine,185.8,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)[C@@]([H])(N([H])[H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H]
metanetx.chemical:MNXM813,cis-Aconitate,-802.2,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)/C([H])=C(\C(=O)O[H])C([H])([H])C(=O)O[H]
metanetx.chemical:MNXM377,Indole,509.0,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]c1c([H])c([H])c2c(c1[H])c([H])c([H])n2[H]
metanetx.chemical:MNXM303,Ethanol,62.8,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC([H])([H])C([H])([H])[H]
metanetx.chemical:MNXM15883,D-Lyxose,-341.7,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC1([H])OC([H])([H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]1([H])O[H]
metanetx.chemical:MNXM927,L-Cystine,-177.7,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])SSC([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H]
metanetx.chemical:MNXM228,Nitric oxide,86.5,7.0,0.25,14.0,298.15,0,Alberty (2006),,[N]=O
metanetx.chemical:MNXM796,Dimethylamine,321.8,7.0,0.25,14.0,298.15,0,Thauer (1977),,[H]N(C([H])([H])[H])C([H])([H])[H]
metanetx.chemical:MNXM352,Trimethylamine,443.8,7.0,0.25,14.0,298.15,0,Thauer (1977),,[H]C([H])([H])N(C([H])([H])[H])C([H])([H])[H]
metanetx.chemical:MNXM243,"3',5'-Cyclic AMP",-343.5,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]O[C@]1([H])[C@]2([H])OP(=O)(O[H])OC([H])([H])[C@@]2([H])O[C@@]1([H])n1c([H])nc2c(N([H])[H])nc([H])nc21
metanetx.chemical:MNXM435,D-Glyceraldehyde,-195.6,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC([H])([H])[C@@]([H])(O[H])C([H])=O
metanetx.chemical:MNXM295,alpha-D-Ribose 1-phosphate,-1224.3,7.0,0.25,14.0,298.15,1,Alberty (2006),,[H]OC([H])([H])[C@@]1([H])O[C@]([H])(OP(=O)(O[H])O[H])[C@]([H])(O[H])[C@]1([H])O[H]
